basin_id,name,country,area,total_g_nitrogen,normalized_n
ai_07771,Taozi Bay,China,0.607497612932,93531184,153961401.6729797
na_76159,Laguna de la Leche,Mexico,32.1973734772,3943455440.0447545,122477550.62496766
ai_07801,Kongtong Island / Zhifu Bay,China,0.607497612932,54349416,89464410.79445621
eu_29729,Barcelona,Spain,15.3015319211,763229066,49879258.49094544
al_12503,Xiamen Port,China,49.8148042477,2481577727,49816069.02760392
na_77387,Varadero,Cuba,0.607497612776,29264106.28125,48171557.658516146
ai_32463,Indonesia,Indonesia,0.607497612932,28788367.25,47388445.05257738
na_80747,Veracruz,Mexico,15.7949379322,739420184.0674763,46813744.20345608
eu_30871,Zeytinburnu/Istanbul,Turkey,40.9686177241,1895087755.75,46257058.720221475
ai_07406,Osaka,Japan,0.607497612932,25320116,41679367.064170174
al_12903,Hong Kong,Hong Kong,15.7949379322,650716000.6875,41197756.10899567
af_18168,Island of Mozambique,Mozambique,0.85166500738,34186576,40140871.94349934
na_80064,Cancun,Mexico,0.607497612777,23018945,37891416.387260415
eu_22236,Earnse Bay,United Kingdom,0.493597803905,18065521.819335938,36599680.299252115
al_10768,Jiaozhou Wan/Qingdao,China,18.8324259961,687535450.25,36508065.94925059
eu_31939,Cadiz,Spain,7.89756486249,287534444.75,36407987.74767443
al_13345,Bohe Harbor,China,1.21499522555,43330454.3125,35663065.50125357
ai_07036,Tomoe River,Japan,0.607497612932,20627517.46875,33954894.68541983
na_73926,Ciudad Juarez,Mexico,12.7574498683,419878894.1408647,32912447.117208686
eu_26817,Lake Neusiedl,Hungary,15.3015319211,492689543.00616455,32198707.001798417
eu_30892,Istanbul,Turkey,116.982679526,3694518803.2578125,31581759.096539475
ai_09953,Quintang River,China,0.607497612932,18256312,30051660.469723545
af_07718,Casablanca,Morocco,33.2149352878,987667646.3041992,29735648.669680655
al_12879,Hong Kong,Hong Kong,300.711318324,8856026742.1640625,29450260.77343114
ai_06838,Tokyo,Japan,0.607497612933,17325152.75,28518882.01890065
