basin_id,name,country
ai_07771,Taozi Bay,China
na_76159,Laguna de la Leche,Mexico
ai_07801,Kongtong Island / Zhifu Bay,China
eu_29729,Barcelona,Spain
al_12503,Xiamen Port,China
na_77387,Varadero,Cuba
ai_32463,Indonesia,Indonesia
na_80747,Veracruz,Mexico
eu_30871,Zeytinburnu/Istanbul,Turkey
ai_07406,Osaka,Japan
al_12903,Hong Kong,Hong Kong
af_18168,Island of Mozambique,Mozambique
na_80064,Cancun,Mexico
eu_22236,Earnse Bay,United Kingdom
al_10768,Jiaozhou Wan/Qingdao,China
eu_31939,Cadiz,Spain
al_13345,Bohe Harbor,China
ai_07036,Tomoe River,Japan
na_73926,Ciudad Juarez,Mexico
eu_26817,Lake Neusiedl ,Hungary
eu_30892,Istanbul,Turkey
ai_09953,Quintang River,China
af_07718,Casablanca,Morocco
al_12879,Hong Kong,Hong Kong
ai_06838,Tokyo,Japan
